customer_city,total_price
conrado,126.12
conselheiro lafaiete,13024.29
conselheiro mairinck,81.55
conselheiro pena,2393.18
conservatoria,997.1700000000001
constantina,348.77
contagem,60720.98
contenda,104.61000000000001
coqueiro baixo,208.43
coqueiros do sul,49.06
coracao de jesus,173.38
coracao de maria,306.06
corbelia,785.2199999999999
cordeiro,3098.43
cordeiropolis,1705.29
cordeiros,363.64
coreau,54.81
coremas,367.59
corguinho,262.66999999999996
coribe,816.78
corinto,1545.63
cornelio procopio,2705.58
coroaci,374.99
coroados,239.34
coroata,1328.47
coromandel,3141.23
coronel domingos soares,106.87
coronel fabriciano,5193.23
coronel freitas,98.64999999999999
coronel joao pessoa,124.33000000000001
coronel joao sa,689.71
coronel macedo,118.25
coronel martins,152.14
coronel murta,255.84
coronel pacheco,99.9
coronel sapucaia,106.23
coronel vivida,1159.23
corrego danta,57.62
corrego do ouro,45.01
corrego fundo,144.65
correia pinto,2056.93
corrente,1831.14
correntes,221.59
correntina,188.11
cortes,305.32000000000005
corumba,5627.08
corumba de goias,163.28
corumbaiba,256.47
corumbatai,74.13
corumbatai do sul,45.78
corupa,658.28
coruripe,1359.09
cosmopolis,7751.95
cosmorama,1091.55
costa marques,1658.28
costa rica,1273.9
cotegipe,103.14999999999999
cotia,36028.25
cotipora,127.53
cotriguacu,220.48
couto de magalhaes,242.63
coxilha,191.5
coxim,1854.6200000000001
crateus,2779.4
crato,3895.83
cravinhos,2838.32
cravolandia,187.83
criciuma,17957.98
crisolita,134.24
crisopolis,293.57
crissiumal,1671.3000000000002
cristais,249.61
cristais paulista,600.6400000000001
cristal,631.04
cristalandia,1067.93
cristalia,517.31
cristalina,2275.49
cristiano otoni,279.38
cristina,1256.38
cristinapolis,145.37
cristopolis,113.94999999999999
crixas,1129.44
croata,87.8
crominia,61.0
crucilandia,30.47
cruz,1772.5500000000002
cruz alta,5704.35
cruz das almas,2586.27
cruz machado,523.23
cruzalia,348.25
cruzeiro,7522.1
cruzeiro da fortaleza,144.3
cruzeiro do iguacu,148.15
cruzeiro do oeste,982.5
cruzeiro do sul,3537.43
cruzilia,595.32
cubatao,8171.42
cubati,187.59
cuiaba,60570.090000000004
cuite,796.51
cuite velho,35.089999999999996
cujubim,132.94
cumari,229.51
cumaru,399.98
cunha,3118.0
cunha pora,820.95
cupira,65.53
curaca,542.24
curitiba,252659.54
curitibanos,3469.8
curiuva,364.52
currais novos,1914.44
curral de cima,199.0
curralinho,355.29
curuca,604.4499999999999
cururupu,754.67
curvelandia,243.78
curvelo,7088.64
custodia,752.1700000000001
damianopolis,63.839999999999996
dario meira,225.26
datas,920.94
david canabarro,222.77
delfim moreira,39.37
delfinopolis,318.02
delmiro gouveia,1353.71
demerval lobao,80.75999999999999
denise,723.97
deodapolis,111.21000000000001
deputado irapuan pinheiro,239.0
descalvado,1439.57
descoberto,264.02000000000004
desembargador otoni,196.02
desterro,639.98
desterro de entre rios,58.28
desterro do melo,35.86
dezesseis de novembro,102.75
diadema,35055.83
diamante d'oeste,307.69
diamante do norte,515.27
diamantina,2907.9300000000003
diamantino,527.42
dianopolis,1165.41
dias d avila,61.79
dias d'avila,3309.0
diogo de vasconcelos,244.70999999999998
dionisio,154.42000000000002
dionisio cerqueira,500.53999999999996
diorama,266.92
divinesia,333.51
divino,1714.83
divino das laranjeiras,51.099999999999994
divino de sao lourenco,149.16
divinolandia,1568.92
divinolandia de minas,312.82
divinopolis,39698.42
divinopolis de goias,94.3
divinopolis do tocantins,139.26999999999998
divisa alegre,302.96000000000004
divisa nova,788.71
dobrada,508.9
doce grande,67.72
dois corregos,1402.59
dois irmaos,3847.42
dois irmaos do buriti,890.15
dois riachos,152.25
dois vizinhos,3000.9
dom aquino,520.36
dom basilio,172.70999999999998
dom cavati,93.08
dom eliseu,675.33
dom feliciano,635.95
dom joaquim,163.38
dom macedo costa,82.83
dom pedrito,1708.09
dom pedro,438.68
dom silverio,484.12
dom vicoso,456.76
domiciano ribeiro,149.38
domingos martins,1353.6299999999999
dona emma,47.81
dona euzebia,354.93999999999994
dona francisca,340.15
dores de campos,1464.19
dores de guanhaes,72.48
dores do indaia,928.86
dores do rio preto,526.33
dormentes,1067.73
douradina,118.65
dourado,1316.93
dourados,10979.95
doutor camargo,461.26
doutor ulysses,158.61
doverlandia,311.87
dracena,5462.42
duartina,1453.3
duas barras,36.95
duere,158.77
dumont,779.64
duque de caxias,42242.26
durande,219.35
echapora,847.25
ecoporanga,1145.83
edeia,560.9100000000001
eldorado,698.19
eldorado do sul,2127.04
elias fausto,610.23
eliseu martins,543.06
elisiario,64.1
elisio medrado,118.75
eloi mendes,2227.23
embauba,414.81
embu,1942.6200000000001
embu das artes,23496.72
embu-guacu,8564.16
